Country,Pop1955,Pop1960,Pop1965,Pop1970,Pop1975,Pop1980,Pop1985,Pop1990,Pop1995,Pop2000,Pop2005,Group,Cluster,F1950,F1955,F1960,F1965,F1970,F1975,F1980,F1985,F1990,F1995,F2000,F2005,L1950,L1955,L1960,L1965,L1970,L1975,L1980,L1985,L1990,L1995,L2000,L2005
Guinea-Bissau,591909,616682,603780,620020,680919,789053,885234,995991,1143057,1278273,1413446,Sub-Saharan Africa,2,5.583,5.583,5.99,6.5,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.069,32.5,33.489,34.488,35.492,36.486,37.465,39.327,41.245,43.266,44.873,45.504,46.388
Guyana,491180,571083,640316,714811,767977,759352,758329,750903,747929,755171,765283,America,3,6.68,6.77,6.15,6.11,4.9,3.94,3.26,2.7,2.55,2.5,2.4254,2.3338,52.31,54.815,57.32,59.187,59.958,60.651,60.923,61.79,62.531,62.06,63.578,66.827
Haiti,3376419,3722743,4137405,4604915,4828338,5029725,5517977,6126101,6675578,7306302,8121622,America,3,6.3,6.3,6.3,6,5.6005,5.8,6.2099,5.69985,5.14985,4.61995,4,3.5445,37.579,40.696,43.59,46.243,48.042,49.923,51.461,53.636,55.089,56.671,58.137,60.916
Honduras,1662219,1951640,2329159,2760666,2857540,3401940,4076514,4792271,5546185,6347658,7167902,America,3,7.497,7.497,7.418,7.421,7.05,6.6,5.9995,5.37,4.916,4.3005,3.723,3.308,41.912,44.665,48.041,50.924,53.884,57.402,60.909,64.492,66.399,67.659,68.565,70.198
Hong Kong,2490400,3075300,3597900,3959000,4395800,5063100,5456200,5687959,6225347,6658720,6898686,East Asia & Pacific,4,4.44,4.72,5.31,4.02,2.89,2.32,1.8,1.31,1.288,1.08,0.94,0.966,60.96,64.75,67.65,70,72,73.6,75.45,76.2,77.601,80,81.495,82.208
Hungary,9825000,9983512,10152934,10337004,10531820,10711122,10648713,10371878,10295874,10137449,10006835,Europe & Central Asia,1,2.73,2.21,1.82,1.98,2.09,2.12,1.81,1.82,1.73,1.381,1.295,1.28,64.03,66.41,67.96,69.5,69.76,69.95,69.39,69.58,69.17,71.04,72.59,73.338
Iceland,158044,175860,192288,204104,218031,228161,241403,254719,267527,281043,296737,Europe & Central Asia,1,3.7,4.023,3.943,3.154,2.843,2.287,2.248,2.116,2.194,2.056,1.993,2.052,72.49,73.47,73.68,73.73,74.46,76.11,76.99,77.23,78.77,78.95,80.5,81.757
India,393000000,434000000,485000000,541000000,607000000,679000000,755000000,839000000,927000000,1007702000,1080264388,South Asia,0,5.9136,5.8961,5.8216,5.6058,5.264,4.8888,4.4975,4.15,3.8648,3.4551,3.1132,2.8073,37.373,40.249,43.605,47.193,50.651,54.208,56.596,58.553,60.223,61.765,62.879,64.698
Indonesia,86807000,95254000,105093000,116044000,130297000,146995000,163403000,178500000,194755000,206265000,218465000,East Asia & Pacific,4,5.486,5.672,5.62,5.568,5.3,4.73,4.109,3.4,2.9,2.55,2.3761,2.182,37.468,39.918,42.518,45.964,49.203,52.702,56.159,60.137,62.681,66.041,68.588,70.65
Iran,18729000,21577000,25000000,28933000,33379000,39583397,48439952,57035717,61628116,65660289,68017860,Middle East & North Africa,5,7,7,7,6.8,6.4,6.5,6.63,5.62,4.328,2.534,2.124,2.04,44.869,47.181,49.325,52.469,55.234,57.702,59.62,63.04,65.742,68.042,69.451,70.964
Iraq,5903253,6822030,7970746,9413671,11117804,13232839,15693620,18134702,19557247,22675617,26074906,Middle East & North Africa,5,7.3,7.3,7.25,7.2,7.15,6.8,6.35,6.15,5.7,5.37,4.858,4.264,45.32,48.437,51.457,54.459,56.95,60.413,62.038,65.044,59.461,58.811,57.046,59.545
Ireland,2916133,2832000,2876000,2950100,3177300,3401000,3540000,3508200,3613890,3791690,4015676,Europe & Central Asia,1,3.38,3.68,3.979,3.873,3.815,3.478,2.877,2.287,1.969,1.9,1.969,1.964,66.91,68.9,70.29,71.08,71.28,72.03,73.1,74.36,75.467,76.122,77.783,78.885
Israel,1772032,2141495,2578184,2903434,3354242,3737473,4074965,4512068,5305120,5842454,6276883,Middle East & North Africa,5,4.161,3.893,3.852,3.79,3.77,3.409,3.125,3.051,2.933,2.942,2.906,2.75,65.39,67.84,69.39,70.75,71.63,73.06,74.45,75.6,76.93,78.269,79.696,80.745
Italy,48633000,50197600,51987100,53661100,55571894,56451247,56731215,56742886,57274531,57719337,58103033,Europe & Central Asia,1,2.321,2.35,2.498,2.493,2.325,1.889,1.53,1.349,1.275,1.213,1.286,1.379,65.94,67.81,69.24,71.06,72.19,73.48,74.98,76.42,77.44,78.82,80.24,80.546
Jamaica,1488805,1631784,1777397,1943787,2104879,2228803,2318652,2347922,2469389,2615467,2735520,America,3,4.22,5.08,5.64,5.78,5,4,3.55,3.1,2.84,2.67,2.628,2.4289,58.53,62.61,65.61,67.51,69,70.11,71.21,71.77,71.766,72.262,72.047,72.567
Japan,89815060,94091638,98882534,104344973,111573116,116807309,120754335,123537399,125341354,126699784,127417244,East Asia & Pacific,4,2.75,2.08,2.02,2,2.07,1.81,1.76,1.66,1.49,1.39,1.291,1.27,63.03,65.5,68.73,71.43,73.42,75.38,77.11,78.67,79.36,80.69,82,82.603
Jordan,686955,848515,1061463,1502959,1802960,2162807,2627750,3262054,4201514,4998564,5759732,Middle East & North Africa,5,7.38,7.38,7.995,7.995,7.79,7.38,6.765,5.87,5.14,4.315,3.529,3.13,43.158,45.669,48.126,51.629,56.528,61.134,63.739,65.869,68.015,69.772,71.263,72.535
Kazakhstan,7976879,9982014,11902456,13106377,14157075,14966718,15789549,16398131,15878488,15032140,15185844,Europe & Central Asia,1,4.406,4.555,4.431,3.671,3.459,3.06,2.957,3.033,2.55,2,2.006,2.31,55.029,57.189,59.349,61.506,63.12,64.192,65.787,67.408,65.359,62.959,64.878,66.996
Kenya,7033999,8156827,9549179,11247182,13433414,16331401,19763285,23358413,27060142,29985839,33829590,Sub-Saharan Africa,2,7.511,7.816,8.12,8.12,8,7.6,7.2,6.5,5.4,5,5,4.959,42.27,44.686,47.949,50.654,53.559,56.155,58.766,59.339,59.285,54.407,50.992,54.11
South Korea,8839427,10391909,11868751,13911902,15801308,17113626,18481420,20018546,21561856,21647682,22912177,East Asia & Pacific,4,2.7,3.8,3.41,4.09,3.72,2.58,2.93,2.45,2.35,2.0938,1.9173,1.85,50.056,54.081,56.656,59.942,63.983,67.159,69.1,70.647,69.978,67.727,66.662,67.297
North Korea,21551834,24784140,28705000,32241000,35281000,38124000,40806000,42869000,45264146,47351083,48640671,East Asia & Pacific,4,5.4,6.332,5.63,4.708,4.281,2.919,2.234,1.601,1.696,1.514,1.242,1.21,47.453,52.681,55.292,57.716,62.612,64.766,67.123,69.81,72.244,74.647,77.045,78.623
Kuwait,186639,292229,476123,747502,1006892,1369769,1732824,2142011,1620808,1973572,2335648,Middle East & North Africa,5,7.207,7.207,7.308,7.41,6.902,5.887,4.872,3.938,3.2,2.614,2.296,2.184,55.565,58.033,60.47,64.624,67.712,69.343,71.309,74.174,75.19,76.156,76.904,77.588
Kyrgyz Republic,1901498,2171285,2573131,2963792,3300684,3622728,4005552,4382486,4532223,4851054,5146281,Europe & Central Asia,1,4.509,4.834,5.39,5.011,4.726,4.054,4.101,4.019,3.612,2.986,2.5,2.482,52.888,55.09,57.301,59.501,61.186,62.324,63.969,66.013,66.126,64.949,65.349,65.891
Lao PDR,2077063,2309365,2565380,2844851,3161118,3293159,3657169,4210452,4846116,5497733,6217141,East Asia & Pacific,4,6.4212,6.4212,6.4212,6.4212,6.4206,6.4167,6.4087,6.4002,5.8589,4.7043,3.5875,3.2134,41.922,43.082,44.251,45.393,46.544,48,49.768,52.354,56.044,59.45,61.902,64.416
Latvia,2002111,2115183,2253604,2361159,2461606,2524543,2606405,2663590,2488008,2376178,2290237,Europe & Central Asia,1,2,1.95,1.85,1.81,2,2,2,2.09,1.627,1.171,1.245,1.286,66.02,68.9,69.88,70.82,70.25,69.45,69.71,71.05,68.57,69.56,70.68,72.674
